beta1,beta2,min_loss,final_loss,coupling_ratio_max,theoretical_regime,empirical_regime,stable_bound_b1,exist_bound_b1
0.03959183673469388,0.07877551020408163,1.6126e-320,1.6126e-320,1.412431325485729e+101,I_stable,I_stable,0.07877551020408163,0.14869399108610135
0.03959183673469388,0.09836734693877551,1.5257e-320,1.5257e-320,1.338792622832136e+101,I_stable,I_stable,0.09836734693877551,0.17564598165422904
0.03959183673469388,0.11795918367346939,5.1373e-320,5.1373e-320,2.188071188343072e+101,I_stable,I_stable,0.11795918367346939,0.20127916346199196
0.03959183673469388,0.13755102040816325,2.004e-320,2.004e-320,4.0286622021006685e+101,I_stable,I_stable,0.13755102040816325,0.2258644406312193
0.03959183673469388,0.1571428571428571,1.91e-320,1.91e-320,2.6639253787580852e+101,I_stable,I_stable,0.1571428571428571,0.24958643848936826
0.03959183673469388,0.176734693877551,2.15e-320,2.15e-320,3.791756799000407e+101,I_stable,I_stable,0.176734693877551,0.27257835044093476
0.03959183673469388,0.1963265306122449,2.183e-320,2.183e-320,4.040819152193324e+101,I_stable,I_stable,0.1963265306122449,0.29494038580671944
0.03959183673469388,0.21591836734693876,4.5197e-320,4.5197e-320,3.115732105306761e+101,I_stable,I_stable,0.21591836734693876,0.31675041368227413
0.03959183673469388,0.23551020408163262,2.311e-320,2.311e-320,3.5173693526303355e+101,I_stable,I_stable,0.23551020408163262,0.33807051609020067
0.03959183673469388,0.25510204081632654,1.795e-320,1.795e-320,5.1178628008006797e+101,I_stable,I_stable,0.25510204081632654,0.35895123321356215
0.03959183673469388,0.2746938775510204,2.296e-320,2.296e-320,4.5388358714920717e+101,I_stable,I_stable,0.2746938775510204,0.3794344287204513
0.03959183673469388,0.29428571428571426,2.121e-320,2.121e-320,4.6016597623108467e+101,I_stable,I_stable,0.29428571428571426,0.39955529026532965
0.03959183673469388,0.31387755102040815,2.141e-320,2.141e-320,4.928185217695059e+101,I_stable,I_stable,0.31387755102040815,0.41934376641984905
0.03959183673469388,0.33346938775510204,1.781e-320,1.781e-320,5.2093711601810895e+101,I_stable,I_stable,0.33346938775510204,0.4388256240669263
0.03959183673469388,0.35306122448979593,2.1324e-320,2.1324e-320,8.622675706750022e+101,I_stable,I_stable,0.35306122448979593,0.45802324290480784
0.03959183673469388,0.3726530612244898,2.331e-320,2.331e-320,7.289782399879069e+101,I_stable,I_stable,0.3726530612244898,0.4769562233715155
0.03959183673469388,0.39224489795918366,1.7727e-320,1.7727e-320,8.308198356752589e+101,I_stable,I_stable,0.39224489795918366,0.49564185930152915
0.03959183673469388,0.41183673469387755,1.689e-320,1.689e-320,1.138027921966844e+102,I_stable,I_stable,0.41183673469387755,0.5140955106577026
0.03959183673469388,0.43142857142857144,2.0306e-320,2.0306e-320,1.1083334854267169e+102,I_stable,I_stable,0.43142857142857144,0.5323309012057498
0.03959183673469388,0.4510204081632653,1.627e-320,1.627e-320,1.1112195317743621e+102,I_stable,I_stable,0.4510204081632653,0.5503603589627031
0.03959183673469388,0.47061224489795916,1.4886e-320,1.4886e-320,1.52718057466576e+102,I_stable,I_stable,0.47061224489795916,0.5681950124246583
0.03959183673469388,0.49020408163265305,1.5277e-320,1.5277e-320,1.743110241857318e+102,I_stable,I_stable,0.49020408163265305,0.5858449522056745
0.03959183673469388,0.509795918367347,0.0,0.0,1.5342731196310957e+102,I_stable,I_stable,0.509795918367347,0.6033193653210811
0.03959183673469388,0.5293877551020408,0.0,0.0,1.8343994783259647e+102,I_stable,I_stable,0.5293877551020408,0.6206266476163069
0.03959183673469388,0.5489795918367347,0.0,0.0,2.503093493462914e+102,I_stable,I_stable,0.5489795918367347,0.6377744985737119
0.03959183673469388,0.5685714285714285,0.0,0.0,2.4995611547460307e+102,I_stable,I_stable,0.5685714285714285,0.654770001788624
0.03959183673469388,0.5881632653061224,0.0,0.0,2.8048081787047906e+102,I_stable,I_stable,0.5881632653061224,0.6716196936990277
0.03959183673469388,0.6077551020408163,0.0,0.0,2.9159949452004515e+102,I_stable,I_stable,0.6077551020408163,0.6883296226168335
0.03959183673469388,0.6273469387755102,0.0,0.0,3.7297707429713025e+102,I_stable,I_stable,0.6273469387755102,0.7049053996971941
0.03959183673469388,0.6469387755102041,0.0,0.0,3.6287024393088884e+102,I_stable,I_stable,0.6469387755102041,0.7213522431638066
0.03959183673469388,0.666530612244898,0.0,0.0,4.927268898309936e+102,I_stable,I_stable,0.666530612244898,0.7376750168593522
0.03959183673469388,0.6861224489795918,0.0,0.0,5.356603390947136e+102,I_stable,I_stable,0.6861224489795918,0.753878263994344
0.03959183673469388,0.7057142857142857,0.0,0.0,5.800866465592797e+102,I_stable,I_stable,0.7057142857142857,0.7699662368122037
0.03959183673469388,0.7253061224489796,0.0,0.0,7.87349220087111e+102,I_stable,I_stable,0.7253061224489796,0.785942922764163
0.03959183673469388,0.7448979591836734,0.0,0.0,8.94325696120523e+102,I_stable,I_stable,0.7448979591836734,0.8018120676876266
0.03959183673469388,0.7644897959183673,0.0,0.0,1.0842500198531383e+103,I_stable,I_stable,0.7644897959183673,0.8175771964006852
0.03959183673469388,0.7840816326530612,0.0,0.0,1.2019617629304023e+103,I_stable,I_stable,0.7840816326530612,0.8332416310595315
0.03959183673469388,0.8036734693877551,0.0,0.0,1.6289008073583077e+103,I_stable,I_stable,0.8036734693877551,0.8488085075715106
0.03959183673469388,0.823265306122449,0.0,0.0,2.0136711359525924e+103,I_stable,I_stable,0.823265306122449,0.8642807903120353
0.03959183673469388,0.8428571428571429,0.0,0.0,2.635680233203201e+103,I_stable,I_stable,0.8428571428571429,0.8796612853567701
0.03959183673469388,0.8624489795918368,0.0,0.0,3.53754364534711e+103,I_stable,I_stable,0.8624489795918368,0.8949526524098372
0.03959183673469388,0.8820408163265305,0.0,0.0,4.6540656677453805e+103,I_stable,I_stable,0.8820408163265305,0.910157415583198
0.03959183673469388,0.9016326530612244,0.0,0.0,7.0140334861726e+103,I_stable,I_stable,0.9016326530612244,0.9252779731608697
0.03959183673469388,0.9212244897959183,0.0,0.0,1.130641505253639e+104,I_stable,I_stable,0.9212244897959183,0.9403166064635249
0.03959183673469388,0.9408163265306122,0.0,0.0,2.0117692669063714e+104,I_stable,I_stable,0.9408163265306122,0.9552754879136958
0.03959183673469388,0.9604081632653061,0.0,0.0,4.5849307024025554e+104,I_stable,I_stable,0.9604081632653061,0.9701566883887878
0.03959183673469388,0.98,0.0,0.0,1.8282704120064888e+105,I_stable,I_stable,0.98,0.9849621839380145
0.05918367346938776,0.02,4.675273224067784e-16,9.72644860229236e-15,952.6114830612894,III_signgd,III_signgd,0.02,0.053182958969449884
0.05918367346938776,0.03959183673469388,3.0153168585147046e-23,9.726448602292351e-15,2189906238553.3506,II_spike,II_spike,0.03959183673469388,0.0887573316607622
0.05918367346938776,0.05918367346938776,6.8517e-320,6.8517e-320,7.614638101417131e+100,I_stable,I_stable,0.05918367346938776,0.11999176412600944
0.05918367346938776,0.07877551020408163,1.5474e-320,1.5474e-320,4.1231930113489484e+101,I_stable,I_stable,0.07877551020408163,0.14869399108610135
0.05918367346938776,0.09836734693877551,4.742e-320,4.742e-320,3.260449007643753e+101,I_stable,I_stable,0.09836734693877551,0.17564598165422904
0.05918367346938776,0.11795918367346939,1.209e-320,1.209e-320,4.710573354290162e+101,I_stable,I_stable,0.11795918367346939,0.20127916346199196
0.05918367346938776,0.13755102040816325,3.0854e-320,3.0854e-320,2.935758860182941e+101,I_stable,I_stable,0.13755102040816325,0.2258644406312193
0.05918367346938776,0.1571428571428571,1.774e-320,1.774e-320,4.871448268175419e+101,I_stable,I_stable,0.1571428571428571,0.24958643848936826
0.05918367346938776,0.176734693877551,3.7253e-320,3.7253e-320,2.7489259284364948e+101,I_stable,I_stable,0.176734693877551,0.27257835044093476
0.05918367346938776,0.1963265306122449,3.889e-320,3.889e-320,2.940660186586073e+101,I_stable,I_stable,0.1963265306122449,0.29494038580671944
0.05918367346938776,0.21591836734693876,2.0163e-320,2.0163e-320,4.9071044783812864e+101,I_stable,I_stable,0.21591836734693876,0.31675041368227413
0.05918367346938776,0.23551020408163262,1.919e-320,1.919e-320,5.3409486566096375e+101,I_stable,I_stable,0.23551020408163262,0.33807051609020067
0.05918367346938776,0.25510204081632654,2.1517e-320,2.1517e-320,3.801469504967756e+101,I_stable,I_stable,0.25510204081632654,0.35895123321356215
0.05918367346938776,0.2746938775510204,1.662e-320,1.662e-320,6.485995245527885e+101,I_stable,I_stable,0.2746938775510204,0.3794344287204513
0.05918367346938776,0.29428571428571426,1.6596e-320,1.6596e-320,6.408326162930323e+101,I_stable,I_stable,0.29428571428571426,0.39955529026532965
0.05918367346938776,0.31387755102040815,1.698e-320,1.698e-320,6.704508912355779e+101,I_stable,I_stable,0.31387755102040815,0.41934376641984905
0.05918367346938776,0.33346938775510204,2.1867e-320,2.1867e-320,6.938576790592124e+101,I_stable,I_stable,0.33346938775510204,0.4388256240669263
0.05918367346938776,0.35306122448979593,1.683e-320,1.683e-320,6.691189546208752e+101,I_stable,I_stable,0.35306122448979593,0.45802324290480784
0.05918367346938776,0.3726530612244898,1.999e-320,1.999e-320,9.351668918262341e+101,I_stable,I_stable,0.3726530612244898,0.4769562233715155
0.05918367346938776,0.39224489795918366,1.6166e-320,1.6166e-320,1.0480665824921126e+102,I_stable,I_stable,0.39224489795918366,0.49564185930152915
0.05918367346938776,0.41183673469387755,1.509e-320,1.509e-320,9.070555338392955e+101,I_stable,I_stable,0.41183673469387755,0.5140955106577026
0.05918367346938776,0.43142857142857144,1.864e-320,1.864e-320,1.3570604460195403e+102,I_stable,I_stable,0.43142857142857144,0.5323309012057498
0.05918367346938776,0.4510204081632653,1.4575e-320,1.4575e-320,1.3421738980799133e+102,I_stable,I_stable,0.4510204081632653,0.5503603589627031
0.05918367346938776,0.47061224489795916,1.8285e-320,1.8285e-320,1.2494966691519916e+102,I_stable,I_stable,0.47061224489795916,0.5681950124246583
0.05918367346938776,0.49020408163265305,1.907e-320,1.907e-320,1.4383193295151e+102,I_stable,I_stable,0.49020408163265305,0.5858449522056745
0.05918367346938776,0.509795918367347,0.0,0.0,1.7880302152995865e+102,I_stable,I_stable,0.509795918367347,0.6033193653210811
0.05918367346938776,0.5293877551020408,0.0,0.0,2.1150820103560846e+102,I_stable,I_stable,0.5293877551020408,0.6206266476163069
0.05918367346938776,0.5489795918367347,0.0,0.0,2.1170062155924988e+102,I_stable,I_stable,0.5489795918367347,0.6377744985737119
